# AI_SURFACE_CAPS — inventário vivo do registry de capabilities
# gerado em: 2026-07-30T02:54:18.001Z
# total: 177 | audience mcp: 150 | app-only: 27
# formato: id | kind | audience | approval | módulo

tasks.snooze | command | app+mcp | - | tasks
tasks.tags.create | command | app+mcp | - | tasks
tasks.tags.delete | command | app+mcp | - | tasks
tasks.tags.list | query | app+mcp | - | tasks
tasks.tags.reorder | command | app+mcp | - | tasks
tasks.tags.update | command | app+mcp | - | tasks
tasks.update | command | app+mcp | - | tasks
workflow.addPayment | command | app+mcp | - | workflow
workflow.advanceCard | command | app+mcp | - | workflow
workflow.analytics.summary | query | app+mcp | - | workflow
workflow.deleteSession | command | app+mcp | - | workflow
workflow.diagnoseSession | query | app+mcp | - | workflow
workflow.getCardBySession | query | app+mcp | - | workflow
workflow.getSessionFinancials | query | app+mcp | - | workflow
workflow.listMonth | query | app+mcp | - | workflow
workflow.listRange | query | app+mcp | - | workflow
workflow.listSessionsByPaymentStatus | query | app+mcp | - | workflow
workflow.metricsForMonth | query | app+mcp | - | workflow
workflow.metricsForRange | query | app+mcp | - | workflow
workflow.pendingPayments | query | app+mcp | - | workflow
workflow.photoProductionForMonth | query | app+mcp | - | workflow
workflow.produto.add | command | app+mcp | - | workflow
workflow.produto.advanceStage | command | app+mcp | - | workflow
workflow.produto.duplicate | command | app+mcp | - | workflow
workflow.produto.getFlowTemplate | query | app+mcp | - | workflow
workflow.produto.listBySession | query | app+mcp | - | workflow
workflow.produto.listPending | query | app+mcp | - | workflow
workflow.produto.remove | command | app+mcp | - | workflow
workflow.produto.reopenProduction | command | app+mcp | - | workflow
workflow.produto.retreatStage | command | app+mcp | - | workflow
workflow.produto.setDeadline | command | app+mcp | - | workflow
workflow.produto.setPrice | command | app+mcp | - | workflow
workflow.produto.setQuantity | command | app+mcp | - | workflow
workflow.produto.setStages | command | app+mcp | - | workflow
workflow.produto.startProduction | command | app+mcp | - | workflow
workflow.produto.switchFluxo | command | app+mcp | - | workflow
workflow.reconcileFotosExtras | command | app+mcp | - | workflow
workflow.refundPayment | command | app+mcp | - | workflow
workflow.search | query | app+mcp | - | workflow
workflow.statusOptions | query | app+mcp | - | workflow
workflow.syncFromAgenda | command | app+mcp | - | workflow
workflow.updateFields | command | app+mcp | - | workflow
